id	instrumentBgPath	instrumentBodyBgPath	instrumentBodyBgWithChaPath	instrumentHealthHolderPath
1001	UI/Icon/卡背_橙色	UI/Icon/竖琴bg_橙色	UI/Icon/竖琴bg_cha_橙色	血槽_橙色
1002	UI/Icon/卡背_蓝色	UI/Icon/竖琴bg_绿色	UI/Icon/竖琴bg_cha_绿色	血槽_绿色
1003	UI/Icon/卡背_紫色	UI/Icon/竖琴bg_紫色	UI/Icon/竖琴bg_cha_紫色	血槽_紫色
1004	UI/Icon/卡背_橙色	UI/Icon/小提琴bg_橙色	UI/Icon/小提琴bg_cha_橙色	血槽_橙色
1005	UI/Icon/卡背_蓝色	UI/Icon/小提琴bg_绿色	UI/Icon/小提琴bg_cha_绿色	血槽_绿色
1006	UI/Icon/卡背_紫色	UI/Icon/小提琴bg_紫色	UI/Icon/小提琴bg_cha_紫色	血槽_紫色
1007	UI/Icon/卡背_橙色	UI/Icon/小号bg_橙色	UI/Icon/小号bg_cha_橙色	血槽_橙色
1008	UI/Icon/卡背_蓝色	UI/Icon/小号bg_绿色	UI/Icon/小号bg_cha_绿色	血槽_绿色
1009	UI/Icon/卡背_紫色	UI/Icon/小号bg_紫色	UI/Icon/小号bg_cha_紫色	血槽_紫色
1010	UI/Icon/卡背_橙色	UI/Icon/手风琴bg_橙色	UI/Icon/手风琴bg_cha_橙色	血槽_橙色
1011	UI/Icon/卡背_蓝色	UI/Icon/手风琴bg_绿色	UI/Icon/手风琴bg_cha_绿色	血槽_绿色
1012	UI/Icon/卡背_紫色	UI/Icon/手风琴bg_紫色	UI/Icon/手风琴bg_cha_紫色	血槽_紫色
1013	UI/Icon/卡背_橙色	UI/Icon/单簧管bg_橙色	UI/Icon/单簧管bg_cha_橙色	血槽_橙色
1014	UI/Icon/卡背_蓝色	UI/Icon/单簧管bg_绿色	UI/Icon/单簧管bg_cha_绿色	血槽_绿色
1015	UI/Icon/卡背_紫色	UI/Icon/单簧管bg_紫色	UI/Icon/单簧管bg_cha_紫色	血槽_紫色
1016	UI/Icon/卡背_橙色	UI/Icon/长笛bg_紫色	UI/Icon/长笛bg_cha_橙色	血槽_橙色
1017	UI/Icon/卡背_蓝色	UI/Icon/长笛bg_绿色	UI/Icon/长笛bg_cha_绿色	血槽_绿色
1018	UI/Icon/卡背_紫色	UI/Icon/长笛bg_紫色	UI/Icon/长笛bg_cha_紫色	血槽_紫色
1019	UI/Icon/卡背_橙色	UI/Icon/三角铁bg_橙色	UI/Icon/三角铁bg_cha_橙色	血槽_橙色
1020	UI/Icon/卡背_蓝色	UI/Icon/三角铁bg_绿色	UI/Icon/三角铁bg_cha_绿色	血槽_绿色
1021	UI/Icon/卡背_紫色	UI/Icon/三角铁bg_紫色	UI/Icon/三角铁bg_cha_紫色	血槽_紫色
